 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.76946395874023E+0002  1.00344185766885E-0003  1.71482527468571E+0002  1.00344185766885E-0003  1.71482527468571E+0002  1.00344185766885E-0003  1.71482527468571E+0002
 1.90053604125977E+0002  2.69667069061591E-0003  1.98820043220138E+0002  2.69667069061591E-0003  1.98820043220138E+0002  2.69667069061591E-0003  1.98820043220138E+0002
 2.03160797119141E+0002  3.17963742742284E-0003  1.99547279073604E+0002  3.17963742742284E-0003  1.99547279073604E+0002  3.17963742742284E-0003  1.99547279073604E+0002
 2.22821594238281E+0002  2.09545476069083E-0003  1.89205828582037E+0002  2.09545476069083E-0003  1.89205828582037E+0002  2.09545476069083E-0003  1.89205828582037E+0002
 2.49035995483398E+0002 -8.83794125391246E-0004  1.98925936689435E+0002 -8.83794125391246E-0004  1.98925936689435E+0002 -8.83794125391246E-0004  1.98925936689435E+0002
 2.75250396728516E+0002  2.46753027070468E-0003  2.09455592207221E+0002  2.46753027070468E-0003  2.09455592207221E+0002  2.46753027070468E-0003  2.09455592207221E+0002
 3.01464813232422E+0002 -1.84461738109795E-0003  2.58347011256279E+0002 -1.84461738109795E-0003  2.58347011256279E+0002 -1.84461738109795E-0003  2.58347011256279E+0002
 3.27679199218750E+0002  5.23844139702445E-0004  3.91986373633522E+0002  5.23844139702445E-0004  3.91986373633522E+0002  5.23844139702445E-0004  3.91986373633522E+0002
 3.53893585205078E+0002  6.01352672244885E-0003  2.47849903575408E+0002  6.01352672244885E-0003  2.47849903575408E+0002  6.01352672244885E-0003  2.47849903575408E+0002
 3.80108001708984E+0002  2.53285581187126E-0003  2.35802552976792E+0002  2.53285581187126E-0003  2.35802552976792E+0002  2.53285581187126E-0003  2.35802552976792E+0002
 4.06322387695313E+0002  9.18600732023089E-0004  1.83231240318914E+0002  9.18600732023089E-0004  1.83231240318914E+0002  9.18600732023089E-0004  1.83231240318914E+0002
 4.45644012451172E+0002  8.65315302713787E-0004  1.99449877588157E+0002  8.65315302713787E-0004  1.99449877588157E+0002  8.65315302713787E-0004  1.99449877588157E+0002
 4.98072814941406E+0002  8.11041037756921E-0004  2.88076262400946E+0002  8.11041037756921E-0004  2.88076262400946E+0002  8.11041037756921E-0004  2.88076262400946E+0002
 5.50501586914062E+0002 -3.49234368576600E-0003  3.22394018161983E+0002 -3.49234368576600E-0003  3.22394018161983E+0002 -3.49234368576600E-0003  3.22394018161983E+0002
 6.02930419921875E+0002 -8.53038147583303E-0003  2.49929146063860E+0002 -8.53038147583303E-0003  2.49929146063860E+0002 -8.53038147583303E-0003  2.49929146063860E+0002
 6.55359191894531E+0002 -5.00994742152734E-0003  2.73137360802317E+0002 -5.00994742152734E-0003  2.73137360802317E+0002 -5.00994742152734E-0003  2.73137360802317E+0002
 7.07788024902344E+0002 -2.43678318266891E-0003  4.14456493445060E+0002 -2.43678318266891E-0003  4.14456493445060E+0002 -2.43678318266891E-0003  4.14456493445060E+0002
 7.60216796875000E+0002 -4.23533703759836E-0003  2.42090228031753E+0002 -4.23533703759836E-0003  2.42090228031753E+0002 -4.23533703759836E-0003  2.42090228031753E+0002
 8.12645629882812E+0002 -4.81484916002493E-0003  2.80852161764793E+0002 -4.81484916002493E-0003  2.80852161764793E+0002 -4.81484916002493E-0003  2.80852161764793E+0002
